Reference, Value, Footprint, Datasheet, 2nd Source Part Number, 1st Source, 2nd Source, Manufacturer Part Number, 1st Source Part Number, Manufacturer
"C11","10nF","kemet:Kemet-CAPC1608X85N","http://www.farnell.com/datasheets/2064086.pdf?_ga=1.250530118.1948984246.1460023966","","Farnell","","C0603C103J3GACTU","1457729","KEMET",""
"D2","DIODE_RS07J-GS18","usevolt:DO219AB","http://www.vishay.com/docs/85742/rs07b.pdf","1864882","Digi-Key","Farnell","RS07J-GS18","RS07J-GS18-ND","Vishay Semiconductor Diodes Division",""
"L1","INDUCTOR_SDR1005-101KL","usevolt:INDUCTOR_BOURNS_10X13X5MM","http://www.farnell.com/datasheets/1695384.pdf?_ga=1.223340891.1948984246.1460023966","SDR1005-101KLCT-ND","Farnell","Digi-Key","SDR1005-101KL","1828057","BOURNS",""
"C12","CAP_EEE-FK1H470P","usevolt:CAP_EEE-FK1H470P","http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+ABA0120+EEEFK1H470P+7+WW","667-EEE-FK1H470P","Digi-Key","Mouser","EEE-FK1H470P","PCE3815CT-ND","Panasonic Electronic Components",""
"VR2","REG_MCP1700","usevolt:SOT-23_3-PIN","http://www.farnell.com/datasheets/1784514.pdf?_ga=1.221693144.1948984246.1460023966","MCP1700T3302ETTCT-ND","Farnell","Digi-Key","MCP1700T-3302E/TT","1296592","MICROCHIP",""
"C13","100nF","kemet:Kemet-CAPC1608X85N","http://www.farnell.com/datasheets/2062872.pdf?_ga=1.250530118.1948984246.1460023966","","Farnell","","C0603C104K5RACTU","1288255","KEMET",""
"R4","470","multicomp:Multicomp-RESC1608X60N","","","Farnell","","MC0063W06031470R","9331239","MULTICOMP",""
"D3","WL-SMCW-150060BS75000-B","wurth_LEDS:Wuerth_Elektronik_LEDs_rev15b-0603","http://www.farnell.com/datasheets/1911343.pdf?_ga=1.259491274.1948984246.1460023966","","Farnell","","150060BS75000","2322069","WURTH ELEKTRONIK",""
"R2","10K","multicomp:Multicomp-RESC1608X60N","http://www.farnell.com/datasheets/1788326.pdf?_ga=1.214208087.1948984246.1460023966","","Farnell","","MC0063W0603110K","9330399","MULTICOMP",""
"R3","1K","multicomp:Multicomp-RESC1608X60N","","","Farnell","","MC0063W060311K","9330380","MULTICOMP",""
"U4","LPC1785FBD208_551QFP50","usevolt:QFP208","http://www.nxp.com/documents/data_sheet/LPC178X_7X.pdf","","Digi-Key","","LPC1785FBD208,551","568-7573-ND","NXP",""
"C21","100nF","kemet:Kemet-CAPC1608X85N","http://www.farnell.com/datasheets/2062872.pdf?_ga=1.250530118.1948984246.1460023966","","Farnell","","C0603C104K5RACTU","1288255","KEMET",""
"C20","100nF","kemet:Kemet-CAPC1608X85N","http://www.farnell.com/datasheets/2062872.pdf?_ga=1.250530118.1948984246.1460023966","","Farnell","","C0603C104K5RACTU","1288255","KEMET",""
"C18","100nF","kemet:Kemet-CAPC1608X85N","http://www.farnell.com/datasheets/2062872.pdf?_ga=1.250530118.1948984246.1460023966","","Farnell","","C0603C104K5RACTU","1288255","KEMET",""
"C16","100nF","kemet:Kemet-CAPC1608X85N","http://www.farnell.com/datasheets/2062872.pdf?_ga=1.250530118.1948984246.1460023966","","Farnell","","C0603C104K5RACTU","1288255","KEMET",""
"J2","ARM_JTAG_SWD_HEADER_10_PINSMD","usevolt:usevolt-ARM_10_PIN_JTAG_SWD_CONNECTOR","",""
"R5","10K","multicomp:Multicomp-RESC1608X60N","http://www.farnell.com/datasheets/1788326.pdf?_ga=1.214208087.1948984246.1460023966","","Farnell","","MC0063W0603110K","9330399","MULTICOMP",""
"R6","10K","multicomp:Multicomp-RESC1608X60N","http://www.farnell.com/datasheets/1788326.pdf?_ga=1.214208087.1948984246.1460023966","","Farnell","","MC0063W0603110K","9330399","MULTICOMP",""
"R7","10K","multicomp:Multicomp-RESC1608X60N","http://www.farnell.com/datasheets/1788326.pdf?_ga=1.214208087.1948984246.1460023966","","Farnell","","MC0063W0603110K","9330399","MULTICOMP",""
"R8","470","multicomp:Multicomp-RESC1608X60N","","","Farnell","","MC0063W06031470R","9331239","MULTICOMP",""
"D4","WL-SMCW-150060BS75000-B","wurth_LEDS:Wuerth_Elektronik_LEDs_rev15b-0603","http://www.farnell.com/datasheets/1911343.pdf?_ga=1.259491274.1948984246.1460023966","","Farnell","","150060BS75000","2322069","WURTH ELEKTRONIK",""
"C24","100nF","kemet:Kemet-CAPC1608X85N","http://www.farnell.com/datasheets/2062872.pdf?_ga=1.250530118.1948984246.1460023966","","Farnell","","C0603C104K5RACTU","1288255","KEMET",""
